total_sleep_duration,light_sleep_stage,deep_sleep_stage,REM_sleep_stage,number_of_awakenings,sleep_score
0.6875,0.5844155844155843,0.4117647058823529,0.8823529411764706,0.1,7.4
0.5859375,0.45454545454545453,0.4705882352941177,0.7647058823529412,0.5,6.0
0.7109375,0.49350649350649345,0.7941176470588236,0.7941176470588236,0.0,7.3
0.84375,0.6363636363636364,0.8823529411764706,0.911764705882353,0.5,3.6
0.5703125,0.5064935064935064,0.35294117647058826,0.676470588235294,0.2,7.4
0.5703125,0.4155844155844155,0.5294117647058824,0.7352941176470589,0.2,7.7
0.859375,0.7272727272727272,0.676470588235294,0.911764705882353,0.0,6.6
0.7265625,0.6753246753246752,0.5588235294117647,0.7058823529411765,0.2,7.5
0.5390625,0.4285714285714285,0.3823529411764706,0.676470588235294,0.2,7.3
0.6953125,0.6363636363636364,0.4117647058823529,0.7647058823529412,0.30000000000000004,6.7
0.5390625,0.49350649350649345,0.5,0.4411764705882353,0.30000000000000004,7.7
0.5390625,0.40259740259740256,0.5294117647058824,0.6176470588235294,0.1,8.4
0.6484375,0.5844155844155843,0.676470588235294,0.4411764705882353,0.0,8.9
0.3125,0.28571428571428564,0.14705882352941177,0.3823529411764706,0.6000000000000001,3.4
0.34375,0.2727272727272727,0.35294117647058826,0.35294117647058826,0.6000000000000001,4.1
0.5234375,0.4155844155844155,0.3823529411764706,0.676470588235294,0.0,8.2
0.453125,0.3766233766233766,0.3235294117647059,0.5294117647058824,0.2,7.2
0.65625,0.6363636363636364,0.7058823529411765,0.35294117647058826,0.0,8.3
0.46875,0.4155844155844155,0.35294117647058826,0.5,0.5,5.9
0.390625,0.3116883116883117,0.2647058823529412,0.5294117647058824,0.0,7.5
0.8359375,0.8051948051948051,0.4705882352941177,0.911764705882353,1.0,1.9
0.5703125,0.4675324675324675,0.4411764705882353,0.676470588235294,0.2,7.7
0.6171875,0.5324675324675324,0.6176470588235294,0.5588235294117647,0.0,9.3
0.390625,0.3506493506493506,0.4411764705882353,0.23529411764705885,0.5,4.9
0.5234375,0.4415584415584415,0.5294117647058824,0.5,0.2,8.3
0.625,0.5844155844155843,0.676470588235294,0.3823529411764706,0.2,7.8
0.4296875,0.3896103896103896,0.4117647058823529,0.35294117647058826,0.0,7.9
0.671875,0.5844155844155843,0.7058823529411765,0.5,0.1,8.5
0.515625,0.4155844155844155,0.3235294117647059,0.7058823529411765,0.6000000000000001,4.9
0.5625,0.5324675324675324,0.6176470588235294,0.3235294117647059,0.2,7.6
0.515625,0.5064935064935064,0.35294117647058826,0.4705882352941177,0.0,8.7
0.8984375,0.6883116883116883,0.9411764705882354,0.9411764705882354,0.1,5.0
0.609375,0.5454545454545454,0.3235294117647059,0.7647058823529412,0.2,7.1
0.4453125,0.33766233766233766,0.4117647058823529,0.5294117647058824,0.0,8.4
0.734375,0.6753246753246752,0.7058823529411765,0.5588235294117647,0.0,8.4
0.421875,0.3766233766233766,0.5,0.2647058823529412,0.0,7.8
0.640625,0.4675324675324675,0.6470588235294118,0.7647058823529412,0.2,7.2
0.3046875,0.28571428571428564,0.20588235294117646,0.29411764705882354,0.1,5.8
0.3984375,0.3116883116883117,0.35294117647058826,0.5,0.1,7.4
0.640625,0.5974025974025974,0.4411764705882353,0.6470588235294118,0.0,9.0
0.7265625,0.6363636363636364,0.4411764705882353,0.8823529411764706,0.30000000000000004,6.2
0.6328125,0.5454545454545454,0.4117647058823529,0.7941176470588236,0.30000000000000004,6.9
0.59375,0.48051948051948046,0.4117647058823529,0.7647058823529412,0.4,6.3
0.5625,0.4155844155844155,0.5,0.676470588235294,0.2,7.8
0.375,0.33766233766233766,0.4117647058823529,0.2647058823529412,0.30000000000000004,5.8
0.5,0.4155844155844155,0.5588235294117647,0.4117647058823529,0.2,7.7
0.5390625,0.45454545454545453,0.3235294117647059,0.7058823529411765,0.1,7.5
0.7734375,0.6623376623376623,0.5294117647058824,0.911764705882353,0.0,7.6
0.6640625,0.5194805194805194,0.4705882352941177,0.8823529411764706,0.0,8.2
0.3359375,0.3116883116883117,0.20588235294117646,0.3823529411764706,0.0,6.7
0.65625,0.6103896103896103,0.3235294117647059,0.7941176470588236,0.2,6.9
0.546875,0.4285714285714285,0.4117647058823529,0.7058823529411765,0.6000000000000001,5.3
0.5,0.4285714285714285,0.4117647058823529,0.5294117647058824,0.0,8.8
0.703125,0.5194805194805194,0.6470588235294118,0.8823529411764706,0.2,6.6
0.7734375,0.7402597402597402,0.6176470588235294,0.6176470588235294,0.1,7.7
0.7578125,0.7272727272727272,0.5,0.7352941176470589,0.2,7.2
0.4765625,0.4285714285714285,0.4411764705882353,0.4117647058823529,0.0,8.5
0.5625,0.5454545454545454,0.5882352941176471,0.3235294117647059,0.0,8.7
0.6640625,0.6233766233766234,0.4411764705882353,0.676470588235294,0.0,8.8
0.765625,0.7272727272727272,0.35294117647058826,0.8823529411764706,0.5,4.6
0.53125,0.4675324675324675,0.35294117647058826,0.6470588235294118,0.0,8.3
0.578125,0.49350649350649345,0.35294117647058826,0.7352941176470589,0.2,7.2
0.4375,0.3506493506493506,0.35294117647058826,0.5294117647058824,0.6000000000000001,5.2
0.421875,0.3636363636363636,0.2647058823529412,0.5588235294117647,0.2,6.7
0.734375,0.6493506493506492,0.5588235294117647,0.7941176470588236,0.1,7.7
0.8203125,0.7272727272727272,0.5588235294117647,0.911764705882353,0.1,6.7
0.6015625,0.4415584415584415,0.5588235294117647,0.7058823529411765,0.2,7.7
0.765625,0.7012987012987012,0.4117647058823529,0.8823529411764706,0.1,6.8
0.6640625,0.5194805194805194,0.5588235294117647,0.7941176470588236,0.30000000000000004,6.9
0.5078125,0.45454545454545453,0.29411764705882354,0.6176470588235294,0.2,7.1
0.6640625,0.6623376623376623,0.2647058823529412,0.7647058823529412,0.2,6.7
0.8515625,0.7792207792207791,0.8823529411764706,0.5882352941176471,0.8,3.0
0.6015625,0.5324675324675324,0.5588235294117647,0.5294117647058824,0.4,7.6
0.8515625,0.8051948051948051,0.5,0.911764705882353,0.2,5.9
0.203125,0.1688311688311688,0.17647058823529413,0.20588235294117646,0.1,4.7
0.734375,0.5584415584415584,0.6470588235294118,0.8823529411764706,0.30000000000000004,6.1
0.625,0.5974025974025974,0.4705882352941177,0.5588235294117647,0.4,7.5
0.5625,0.4415584415584415,0.4411764705882353,0.7058823529411765,0.0,8.6
0.625,0.4285714285714285,0.676470588235294,0.7352941176470589,0.2,7.1
0.296875,0.2727272727272727,0.17647058823529413,0.35294117647058826,0.0,6.3
0.578125,0.45454545454545453,0.4705882352941177,0.7058823529411765,0.1,8.1
0.6640625,0.5584415584415584,0.4705882352941177,0.7941176470588236,0.7000000000000001,4.9
0.84375,0.6103896103896103,0.911764705882353,0.911764705882353,0.1,5.6
0.53125,0.3766233766233766,0.5882352941176471,0.5882352941176471,0.0,8.7
0.484375,0.3506493506493506,0.5,0.5588235294117647,0.0,8.8
0.53125,0.3766233766233766,0.5588235294117647,0.6470588235294118,0.1,8.2
0.75,0.6623376623376623,0.8529411764705882,0.5,0.0,7.9
0.6640625,0.6233766233766234,0.6176470588235294,0.5,0.1,8.8
0.5234375,0.4155844155844155,0.5,0.5588235294117647,0.30000000000000004,7.6
0.6875,0.6623376623376623,0.7941176470588236,0.35294117647058826,0.5,5.3
0.625,0.5454545454545454,0.3235294117647059,0.8235294117647058,0.0,7.9
0.7578125,0.5844155844155843,0.676470588235294,0.8823529411764706,0.30000000000000004,5.9
0.5,0.3636363636363636,0.5,0.6176470588235294,0.0,8.7
0.5546875,0.48051948051948046,0.6176470588235294,0.4117647058823529,0.1,8.3
